concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
918134730,(61)Cu-ATSM,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134731,[18F]-labeled substance P antagonist receptor quantifier,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134732,[18F]L-FAC,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134733,[18F]L-FMAC,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134734,[18F]-ML-10,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134735,[F-18]HX4,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134736,[F18]VM4-037,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134737,[Leu15] gastrin-17,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134738,11beta-hydroxysteroid dehydrogenase type 1 inhibitor AZD4017,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134739,11C topotecan,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134740,123-I-MIP-1095,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134741,14C BMS-275183,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134742,"16, 16-dimethyl prostaglandin E2",Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134743,18F-FHBG,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134744,18-F-fluoroacetate,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134745,18F-fluoromisonidazole,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134746,18F-labeled mini-PEG spacered RGD dimer,Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
918134747,"2-0, 3-0 desulfated heparin",Drug,NCI Drug Dictionary,NA,NA,NA,2020-09-18,2099-12-31,NA
