concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
913161324,913161324,Has abbreviation,2020-09-13,NA,NA
913161325,913161325,Has abbreviation,2020-09-13,NA,NA
913161326,913161326,Has synonym,2020-09-13,NA,NA
913161327,913161327,Has synonym,2020-09-13,NA,NA
913161327,913161327,Has foreign brand name,2020-09-13,NA,NA
913161330,913161330,Has code name,2020-09-13,NA,NA
913161331,913161331,Has synonym,2020-09-13,NA,NA
913161331,913161331,Has code name,2020-09-13,NA,NA
913161333,913161333,Has synonym,2020-09-13,NA,NA
913161335,913161335,Has abbreviation,2020-09-13,NA,NA
913161336,913161336,Has synonym,2020-09-13,NA,NA
913161337,913161337,Has synonym,2020-09-13,NA,NA
913161337,913161337,Has abbreviation,2020-09-13,NA,NA
913161338,913161338,Has abbreviation,2020-09-13,NA,NA
913161339,913161339,Has abbreviation,2020-09-13,NA,NA
913161340,913161340,Has synonym,2020-09-13,NA,NA
913161340,913161340,Has abbreviation,2020-09-13,NA,NA
913161340,913161340,Has code name,2020-09-13,NA,NA
913161341,913161341,Has synonym,2020-09-13,NA,NA
913161344,913161344,Has synonym,2020-09-13,NA,NA
913161344,913161344,Has code name,2020-09-13,NA,NA
913161345,913161345,Has synonym,2020-09-13,NA,NA
913161345,913161345,Has abbreviation,2020-09-13,NA,NA
913161345,913161345,Has code name,2020-09-13,NA,NA
913161347,913161347,Has synonym,2020-09-13,NA,NA
913161347,913161347,Has foreign brand name,2020-09-13,NA,NA
913161348,913161348,Has foreign brand name,2020-09-13,NA,NA
913161348,913161348,Has abbreviation,2020-09-13,NA,NA
913161349,913161349,Has synonym,2020-09-13,NA,NA
913161349,913166833,Has synonym,2020-09-13,NA,NA
913161349,913166833,Has us brand name,2020-09-13,NA,NA
913161349,913161349,Has us brand name,2020-09-13,NA,NA
913161349,913161349,Has abbreviation,2020-09-13,NA,NA
913161349,913166833,Has abbreviation,2020-09-13,NA,NA
913161350,913161350,Has abbreviation,2020-09-13,NA,NA
913161351,913161351,Has synonym,2020-09-13,NA,NA
913161351,913166481,Has synonym,2020-09-13,NA,NA
913161351,913166481,Has us brand name,2020-09-13,NA,NA
913161351,913161351,Has us brand name,2020-09-13,NA,NA
913161352,913161352,Has abbreviation,2020-09-13,NA,NA
913161352,913161352,Has code name,2020-09-13,NA,NA
913161354,913161354,Has synonym,2020-09-13,NA,NA
913161354,913161354,Has abbreviation,2020-09-13,NA,NA
913161355,913161355,Has synonym,2020-09-13,NA,NA
913161355,913161355,Has code name,2020-09-13,NA,NA
913161357,913161357,Has synonym,2020-09-13,NA,NA
913161357,913161357,Has code name,2020-09-13,NA,NA
913161358,913161358,Has synonym,2020-09-13,NA,NA
913161359,913161359,Has synonym,2020-09-13,NA,NA
913161359,913161359,Has abbreviation,2020-09-13,NA,NA
913161360,913161360,Has synonym,2020-09-13,NA,NA
913161362,913161362,Has synonym,2020-09-13,NA,NA
913161363,913161363,Has synonym,2020-09-13,NA,NA
913161363,913161363,Has abbreviation,2020-09-13,NA,NA
913161368,913161368,Has foreign brand name,2020-09-13,NA,NA
913161369,913161369,Has abbreviation,2020-09-13,NA,NA
913161370,913161370,Has synonym,2020-09-13,NA,NA
913161371,913161371,Has synonym,2020-09-13,NA,NA
913161372,913161372,Has abbreviation,2020-09-13,NA,NA
913161373,913161373,Has synonym,2020-09-13,NA,NA
913161373,913161373,Has foreign brand name,2020-09-13,NA,NA
913161373,913161373,Has abbreviation,2020-09-13,NA,NA
913161373,913161373,Has code name,2020-09-13,NA,NA
913161374,913161374,Has synonym,2020-09-13,NA,NA
913161374,913161374,Has code name,2020-09-13,NA,NA
913161375,913161375,Has synonym,2020-09-13,NA,NA
913161375,913161375,Has abbreviation,2020-09-13,NA,NA
913161376,913161376,Has synonym,2020-09-13,NA,NA
913161376,913161376,Has code name,2020-09-13,NA,NA
913161377,913161377,Has synonym,2020-09-13,NA,NA
913161377,913161377,Has abbreviation,2020-09-13,NA,NA
913161381,913161381,Has synonym,2020-09-13,NA,NA
913161381,913161381,Has code name,2020-09-13,NA,NA
913161382,913161382,Has synonym,2020-09-13,NA,NA
913161382,913161382,Has code name,2020-09-13,NA,NA
913161383,913161383,Has code name,2020-09-13,NA,NA
913161384,913161384,Has code name,2020-09-13,NA,NA
913161386,913161386,Has synonym,2020-09-13,NA,NA
913161387,913161387,Has us brand name,2020-09-13,NA,NA
913161387,913161387,Has foreign brand name,2020-09-13,NA,NA
913161388,913161388,Has synonym,2020-09-13,NA,NA
913161388,913161388,Has code name,2020-09-13,NA,NA
913161389,913161389,Has code name,2020-09-13,NA,NA
913161390,913168958,Has us brand name,2020-09-13,NA,NA
913161390,913161390,Has us brand name,2020-09-13,NA,NA
913161390,913161390,Has code name,2020-09-13,NA,NA
913161390,913168958,Has code name,2020-09-13,NA,NA
913161391,913161391,Has synonym,2020-09-13,NA,NA
913161391,913161391,Has foreign brand name,2020-09-13,NA,NA
913161392,913168561,Has us brand name,2020-09-13,NA,NA
913161392,913161392,Has us brand name,2020-09-13,NA,NA
913161392,913161392,Has code name,2020-09-13,NA,NA
913161392,913168561,Has code name,2020-09-13,NA,NA
913161378,913161378,Has synonym,2020-09-13,NA,NA
913161378,913161378,Has code name,2020-09-13,NA,NA
913161396,913161396,Has synonym,2020-09-13,NA,NA
913161396,913166701,Has synonym,2020-09-13,NA,NA
913161396,913166701,Has us brand name,2020-09-13,NA,NA
913161396,913161396,Has us brand name,2020-09-13,NA,NA
913161396,913161396,Has code name,2020-09-13,NA,NA
913161396,913166701,Has code name,2020-09-13,NA,NA
913161398,913161398,Has synonym,2020-09-13,NA,NA
913161398,913164320,Has synonym,2020-09-13,NA,NA
913161398,913161398,Has code name,2020-09-13,NA,NA
913161398,913164320,Has code name,2020-09-13,NA,NA
913161399,913161399,Has synonym,2020-09-13,NA,NA
913161399,913161761,Has synonym,2020-09-13,NA,NA
913161399,913165717,Has synonym,2020-09-13,NA,NA
913161399,913161399,Has us brand name,2020-09-13,NA,NA
913161399,913161761,Has us brand name,2020-09-13,NA,NA
913161399,913165717,Has us brand name,2020-09-13,NA,NA
913161399,913161399,Has acronym,2020-09-13,NA,NA
913161399,913161761,Has acronym,2020-09-13,NA,NA
913161399,913165717,Has acronym,2020-09-13,NA,NA
913161400,913161400,Has synonym,2020-09-13,NA,NA
913161400,913168731,Has synonym,2020-09-13,NA,NA
913161400,913168731,Has us brand name,2020-09-13,NA,NA
913161400,913161400,Has us brand name,2020-09-13,NA,NA
913161400,913161400,Has code name,2020-09-13,NA,NA
913161400,913168731,Has code name,2020-09-13,NA,NA
913161401,913161401,Has synonym,2020-09-13,NA,NA
913161401,913161580,Has synonym,2020-09-13,NA,NA
913161401,913162818,Has synonym,2020-09-13,NA,NA
913161401,913167553,Has synonym,2020-09-13,NA,NA
913161401,913167578,Has synonym,2020-09-13,NA,NA
913161401,913167579,Has synonym,2020-09-13,NA,NA
913161401,913168481,Has synonym,2020-09-13,NA,NA
913161401,913168732,Has synonym,2020-09-13,NA,NA
913161401,913161401,Has us brand name,2020-09-13,NA,NA
913161401,913161580,Has us brand name,2020-09-13,NA,NA
913161401,913162818,Has us brand name,2020-09-13,NA,NA
913161401,913167553,Has us brand name,2020-09-13,NA,NA
913161401,913167578,Has us brand name,2020-09-13,NA,NA
913161401,913167579,Has us brand name,2020-09-13,NA,NA
913161401,913168481,Has us brand name,2020-09-13,NA,NA
913161401,913168732,Has us brand name,2020-09-13,NA,NA
913161401,913161401,Has foreign brand name,2020-09-13,NA,NA
913161401,913161580,Has foreign brand name,2020-09-13,NA,NA
913161401,913162818,Has foreign brand name,2020-09-13,NA,NA
913161401,913167553,Has foreign brand name,2020-09-13,NA,NA
913161401,913167578,Has foreign brand name,2020-09-13,NA,NA
913161401,913167579,Has foreign brand name,2020-09-13,NA,NA
913161401,913168481,Has foreign brand name,2020-09-13,NA,NA
913161401,913168732,Has foreign brand name,2020-09-13,NA,NA
913161401,913161401,Has abbreviation,2020-09-13,NA,NA
913161401,913161580,Has abbreviation,2020-09-13,NA,NA
913161401,913162818,Has abbreviation,2020-09-13,NA,NA
913161401,913167553,Has abbreviation,2020-09-13,NA,NA
913161401,913167578,Has abbreviation,2020-09-13,NA,NA
913161401,913167579,Has abbreviation,2020-09-13,NA,NA
913161401,913168481,Has abbreviation,2020-09-13,NA,NA
913161401,913168732,Has abbreviation,2020-09-13,NA,NA
913161401,913161401,Has acronym,2020-09-13,NA,NA
913161401,913161580,Has acronym,2020-09-13,NA,NA
913161401,913162818,Has acronym,2020-09-13,NA,NA
913161401,913167553,Has acronym,2020-09-13,NA,NA
913161401,913167578,Has acronym,2020-09-13,NA,NA
913161401,913167579,Has acronym,2020-09-13,NA,NA
913161401,913168481,Has acronym,2020-09-13,NA,NA
913161401,913168732,Has acronym,2020-09-13,NA,NA
913161401,913161401,Has code name,2020-09-13,NA,NA
913161401,913161580,Has code name,2020-09-13,NA,NA
913161401,913162818,Has code name,2020-09-13,NA,NA
913161401,913167553,Has code name,2020-09-13,NA,NA
