dl_datetime,drug,drug_link
2020-09-18T04:24:24Z,(61)Cu-ATSM,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/61cu-atsm
2020-09-18T04:24:24Z,[18F]-labeled substance P antagonist receptor quantifier,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/18f-labeled-substance-p-antagonist-receptor-quantifier
2020-09-18T04:24:24Z,[18F]-ML-10,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/18f-ml-10
2020-09-18T04:24:24Z,[18F]L-FAC,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/18fl-fac
2020-09-18T04:24:24Z,[18F]L-FMAC,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/18fl-fmac
2020-09-18T04:24:24Z,[F-18]HX4,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/f-18hx4
2020-09-18T04:24:24Z,[F18]VM4-037,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/f18vm4-037
2020-09-18T04:24:24Z,[Leu15] gastrin-17,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/797962
2020-09-18T04:24:24Z,11beta-hydroxysteroid dehydrogenase type 1 inhibitor AZD4017,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/792667
2020-09-18T04:24:24Z,11C topotecan,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/11c-topotecan
2020-09-18T04:24:24Z,123-I-MIP-1095,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/123-i-mip-1095
2020-09-18T04:24:24Z,14C BMS-275183,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/14c-bms-275183
2020-09-18T04:24:24Z,"16, 16-dimethyl prostaglandin E2",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/16-16-dimethyl-prostaglandin-e2
2020-09-18T04:24:24Z,18-F-fluoroacetate,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/18-f-fluoroacetate
2020-09-18T04:24:24Z,18F-FHBG,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/18f-fhbg
2020-09-18T04:24:24Z,18F-fluoromisonidazole,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/18f-fluoromisonidazole
2020-09-18T04:24:24Z,18F-labeled mini-PEG spacered RGD dimer,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/18f-labeled-mini-peg-spacered-rgd-dimer
2020-09-18T04:24:24Z,"2-0, 3-0 desulfated heparin",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/2-0-3-0-desulfated-heparin
2020-09-18T04:24:24Z,2-fluorofucose-containing SGN-2FF,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/2-fluorofucose-containing-sgn-2ff
2020-09-18T04:24:24Z,2-fluoropropionyl-labeled pegylated dimeric RGD peptide,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/2-fluoropropionyl-labeled-pegylated-dimeric-rgd-peptide
2020-09-18T04:24:24Z,2-hydroxyflutamide depot,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/2-hydroxyflutamide-depot
2020-09-18T04:24:24Z,2-hydroxyoleic acid,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/2-hydroxyoleic-acid
2020-09-18T04:24:24Z,2-methoxyestradiol,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/2-methoxyestradiol
2020-09-18T04:24:24Z,2'-F-ara-deoxyuridine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/2-f-ara-deoxyuridine
2020-09-18T04:24:24Z,2G-1 TCR retroviral vector-transduced lymphocytes,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/2g-1-tcr-retroviral-vector-transduced-lymphocytes
2020-09-18T04:24:24Z,3-deazauridine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/3-deazauridine
2020-09-18T04:24:24Z,"3,4-methylenedioxymethamphetamine",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/34-methylenedioxymethamphetamine
2020-09-18T04:24:24Z,3'-aminomethyl nicotine-P. aeruginosa r-exoprotein A conjugate vaccine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/3-aminomethyl-nicotine-p-aeruginosa-r-exoprotein-a-conjugate-vaccine
2020-09-18T04:24:24Z,3'-C-ethynylcytidine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/3-c-ethynylcytidine
2020-09-18T04:24:24Z,3D-expanded placenta-derived cells PLX-R18,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/3d-expanded-placenta-derived-cells-plx-r18
2020-09-18T04:24:24Z,3M Cavilon Advanced Skin Protectant,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/797360
2020-09-18T04:24:24Z,4-[18F]fluoroglutamic acid,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/653979
2020-09-18T04:24:24Z,4-nitroestrone 3-methyl ether,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/4-nitroestrone-3-methyl-ether
2020-09-18T04:24:24Z,4-peptide melanoma vaccine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/4-peptide-melanoma-vaccine
2020-09-18T04:24:24Z,4-thio-2-deoxycytidine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/4-thio-2-deoxycytidine
2020-09-18T04:24:24Z,4'-iodo-4'-deoxydoxorubicin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/4-iodo-4-deoxydoxorubicin
2020-09-18T04:24:24Z,4H11-28z/fIL-12/EGFRt-expressing autologous T lymphocytes,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/4h11-28z-fil-12-egfrt-expressing-autologous-t-lymphocytes
2020-09-18T04:24:24Z,4SCAR-GD2-modified T lymphocytes,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/4scar-gd2-modified-t-lymphocytes
2020-09-18T04:24:24Z,5-[18F]fluorouracil,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/5-18ffluorouracil
2020-09-18T04:24:24Z,5-aza-4’-thio-2’-deoxycytidine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/794175
2020-09-18T04:24:24Z,5-FITC-labeled colon-heptapeptide,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/5-fitc-labeled-colon-heptapeptide
2020-09-18T04:24:24Z,5-FITC-labeled GI-heptapeptide,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/5-fitc-labeled-gi-heptapeptide
2020-09-18T04:24:24Z,5-fluoro-2-deoxycytidine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/5-fluoro-2-deoxycytidine
2020-09-18T04:24:24Z,5-fluorouracil/salicylic acid topical solution,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/5-fluorouracil-salicylic-acid-topical-solution
2020-09-18T04:24:24Z,5-HT4 agonist TAK-954,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/799096
2020-09-18T04:24:24Z,50% oxygen/50% nitrous oxide premix,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/50pct-oxygen-50pct-nitrous-oxide-premix
2020-09-18T04:24:24Z,6 melanoma helper peptide vaccine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/794177
2020-09-18T04:24:24Z,6-azauridine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/6-azauridine
2020-09-18T04:24:24Z,"6-phosphofructo-2-kinase/ fructose-2,6-bisphosphatases isoform 3 inhibitor ACT-PFK-158",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/757225
2020-09-18T04:24:24Z,"6,8-bis(benzylthio)octanoic acid",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/68-bisbenzylthiooctanoic-acid
2020-09-18T04:24:24Z,7-cyanoquinocarcinol,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/7-cyanoquinocarcinol
2020-09-18T04:24:24Z,7-hydroxystaurosporine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/7-hydroxystaurosporine
2020-09-18T04:24:24Z,7beta-hydroxysteroid dehydrogenase type 5 inhibitor ASP9521,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/7beta-hydroxysteroid-dehydrogenase-type-5-inhibitor-asp9521
2020-09-18T04:24:24Z,8-hydroxyquinoline sulfate ointment,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/8-hydroxyquinoline-sulfate-ointment
2020-09-18T04:24:24Z,851B gel,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/851b-gel
2020-09-18T04:24:24Z,852A,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/852a
2020-09-18T04:24:24Z,A-101 topical solution,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/792737
2020-09-18T04:24:24Z,A-Hydrocort,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/hydrocortisone-sodium-succinate
2020-09-18T04:24:24Z,A2A receptor antagonist EOS100850,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/801361
2020-09-18T04:24:24Z,abacavir sulfate,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abacavir-sulfate
2020-09-18T04:24:24Z,abagovomab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abagovomab
2020-09-18T04:24:24Z,abaloparatide,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/797359
2020-09-18T04:24:24Z,abarelix,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abarelix
2020-09-18T04:24:24Z,abatacept,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abatacept
2020-09-18T04:24:24Z,ABBV-221,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abbv-221
2020-09-18T04:24:24Z,Abegrin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/etaracizumab
2020-09-18T04:24:24Z,Abelcet,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/liposomal-amphotericin-b
2020-09-18T04:24:24Z,abemaciclib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abemaciclib
2020-09-18T04:24:24Z,Aberel,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/tretinoin
2020-09-18T04:24:24Z,abexinostat tosylate,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abexinostat
2020-09-18T04:24:24Z,abiraterone acetate,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abiraterone-acetate
2020-09-18T04:24:24Z,Ablavar,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/gadofosveset-trisodium
2020-09-18T04:24:24Z,Abraxane,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/paclitaxel-albumin-stabilized-nanoparticle-formulation
2020-09-18T04:24:24Z,absorbable adhesion barrier gel,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/absorbable-adhesion-barrier-gel
2020-09-18T04:24:24Z,absorbable fibrin sealant patch,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/absorbable-fibrin-sealant-patch
2020-09-18T04:24:24Z,absorbable gelatin sponge,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/absorbable-gelatin-sponge
2020-09-18T04:24:24Z,absorbable modified polymer hemostatic powder,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/absorbable-modified-polymer-hemostatic-powder
2020-09-18T04:24:24Z,ABT-510,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abt-510
2020-09-18T04:24:24Z,ABT-751,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abt-751
2020-09-18T04:24:24Z,ABVD regimen,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abvd-regimen
2020-09-18T04:24:24Z,ABVE regimen,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abve-regimen
2020-09-18T04:24:24Z,ABVE-PC regimen,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/abve-pc-regimen
2020-09-18T04:24:24Z,AC regimen,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ac-regimen
2020-09-18T04:24:24Z,AC-T regimen,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ac-t-regimen
2020-09-18T04:24:24Z,acadesine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acadesine
2020-09-18T04:24:24Z,acai berry juice,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acai-berry-juice
2020-09-18T04:24:24Z,acalabrutinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acalabrutinib
2020-09-18T04:24:24Z,acalisib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/p110beta-delta-pi3k-inhibitor-gs-9820
2020-09-18T04:24:24Z,acarbose,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acarbose
2020-09-18T04:24:24Z,Accolate,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/zafirlukast
2020-09-18T04:24:24Z,Accutane,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/isotretinoin
2020-09-18T04:24:24Z,Acelarin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/gemcitabine-phosphoramidate-nuc-1031
2020-09-18T04:24:24Z,acelullar cadaveric dermal matrix,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acelullar-cadaveric-dermal-matrix
2020-09-18T04:24:24Z,acenocoumarol,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acenocoumarol
2020-09-18T04:24:24Z,Aceon,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/perindopril-erbumine
2020-09-18T04:24:24Z,acetaminophen,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acetaminophen
2020-09-18T04:24:24Z,acetic acid,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acetic-acid
2020-09-18T04:24:24Z,acetohexamide,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acetohexamide
2020-09-18T04:24:24Z,acetylcysteine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acetylcysteine
2020-09-18T04:24:24Z,acetylsalicylic acid,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acetylsalicylic-acid
2020-09-18T04:24:24Z,acetylsalicylic acid/simvastatin/atenolol/ramipril/thiazide capsule,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acetylsalicylic-acid-simvastatin-atenolol-ramipril-thiazide-capsule
2020-09-18T04:24:24Z,Achromycin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/tetracycline-hydrochloride
2020-09-18T04:24:24Z,Aciphex,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/rabeprazole-sodium
2020-09-18T04:24:24Z,acitretin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acitretin
2020-09-18T04:24:24Z,acivicin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acivicin
2020-09-18T04:24:24Z,aclarubicin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/aclarubicin
2020-09-18T04:24:24Z,Acnestrol,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/diethylstilbestrol
2020-09-18T04:24:24Z,ACNU 50,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/nimustine
2020-09-18T04:24:24Z,acodazole,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acodazole
2020-09-18T04:24:24Z,acoustic coupling fluid,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acoustic-coupling-fluid
2020-09-18T04:24:24Z,acridine carboxamide,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acridine-carboxamide
2020-09-18T04:24:24Z,Actemra,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/tocilizumab
2020-09-18T04:24:24Z,ActHIB,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/haemophilus-influenzae-b-vaccine
2020-09-18T04:24:24Z,Actigall,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ursodiol
2020-09-18T04:24:24Z,Actimmune,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/interferon-gamma-1b
2020-09-18T04:24:24Z,Actinex,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/masoprocol
2020-09-18T04:24:24Z,actinium Ac 225 lintuzumab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/actinium-ac-225-lintuzumab
2020-09-18T04:24:24Z,actinium Ac 225-FPI-1434,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/797340
2020-09-18T04:24:24Z,actinium Ac-225 anti-PSMA monoclonal antibody J591,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/793676
2020-09-18T04:24:24Z,Actiq,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/fentanyl-citrate
2020-09-18T04:24:24Z,Activase,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/alteplase
2020-09-18T04:24:24Z,activated marrow infiltrating lymphocytes,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/activated-marrow-infiltrating-lymphocytes
2020-09-18T04:24:24Z,Activella,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/estradiol-norethindrone-acetate-tablet
2020-09-18T04:24:24Z,ActiVin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ih636-grape-seed-proanthocyanidin-extract
2020-09-18T04:24:24Z,activin type 2B receptor Fc fusion protein STM 434,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/activin-type-2b-receptor-fc-fusion-protein-stm-434
2020-09-18T04:24:24Z,activin type IIA receptor Fc fusion protein KER-050,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/801849
2020-09-18T04:24:24Z,ACTolog IMA101,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ex-vivo-expanded-autologous-t-cells-ima101
2020-09-18T04:24:24Z,Actonel,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/risedronate-sodium
2020-09-18T04:24:24Z,ACTOplus Met XR,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/metformide-hydrochloride-pioglitazone-hydrochloride-extended-release-tablet
2020-09-18T04:24:24Z,Actos,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/pioglitazone-hydrochloride
2020-09-18T04:24:24Z,acyclic nucleoside phosphonate prodrug ABI-1968,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/793142
2020-09-18T04:24:24Z,acyclovir sodium,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/531923
2020-09-18T04:24:24Z,acyclovir sodium,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/acyclovir-sodium
2020-09-18T04:24:24Z,Aczone,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/dapsone
2020-09-18T04:24:24Z,Aczone Gel,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/dapsone-gel-5pct
2020-09-18T04:24:24Z,Ad-hCMV-Flt3L,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad-hcmv-flt3l
2020-09-18T04:24:24Z,Ad-hCMV-TK,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad-hcmv-tk
2020-09-18T04:24:24Z,Ad-ISF35,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad-isf35
2020-09-18T04:24:24Z,Ad-REIC/DKK3 vaccine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad-reic-dkk3-vaccine
2020-09-18T04:24:24Z,Ad-RTS-hIL-12,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/792151
2020-09-18T04:24:24Z,Ad-sig-hMUC-1/ecdCD40L vaccine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad-sig-hmuc-1-ecdcd40l-vaccine
2020-09-18T04:24:24Z,"Ad5 [E1-, E2b-]-HER2/Neu vaccine ETBX-021",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/793072
2020-09-18T04:24:24Z,Ad5-CMV-NIS,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad5-cmv-nis
2020-09-18T04:24:24Z,Ad5-SGE-REIC/Dkk-3 MTG-201,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/800680
2020-09-18T04:24:24Z,Ad5-survivin-transduced autologous dendritic cell vaccine,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad5-survivin-transduced-autologous-dendritic-cell-vaccine
2020-09-18T04:24:24Z,Ad5-yCD/mutTK(SR39)rep-ADP,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad5-ycd-muttksr39rep-adp
2020-09-18T04:24:24Z,Ad5-yCD/mutTKSR39rep-hIL12,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad5-ycd-muttksr39rep-hil12
2020-09-18T04:24:24Z,Ad5.SSTR/TK.RGD,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad5sstr-tkrgd
2020-09-18T04:24:24Z,Ad5CMV-p53 gene,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad5cmv-p53-gene
2020-09-18T04:24:24Z,Ad5F35-LMP1/LMP2-transduced autologous dendritic cells,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ad5f35-lmp1-lmp2-transduced-autologous-dendritic-cells
2020-09-18T04:24:24Z,Adacel,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/diphtheria-toxoid-tetanus-toxoid-acellular-pertussis-vaccine-adsorbed
2020-09-18T04:24:24Z,adagloxad simolenin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/adagloxad-simolenin
2020-09-18T04:24:24Z,adalimumab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/adalimumab
2020-09-18T04:24:24Z,Adanon,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/methadone-hydrochloride
2020-09-18T04:24:24Z,Adapin,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/doxepin-hydrochloride
2020-09-18T04:24:24Z,adavosertib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/wee1-inhibitor-azd1775
2020-09-18T04:24:24Z,Adcetris,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/brentuximab-vedotin
2020-09-18T04:24:24Z,Adderall,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/dextroamphetamine-amphetamine
2020-09-18T04:24:24Z,Adderall XR,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/dextroamphetamine-amphetamine
2020-09-18T04:24:24Z,ADE regimen,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ade-regimen
2020-09-18T04:24:24Z,adecatumumab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/adecatumumab
2020-09-18T04:24:24Z,adefovir dipivoxil,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/adefovir-dipivoxil
2020-09-18T04:24:24Z,adenosine A2A receptor antagonist NIR178,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/793151
2020-09-18T04:24:24Z,adenosine A2A receptor antagonist PBF-509,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/adenosine-a2a-receptor-antagonist-pbf-509
