routine_id,missing_drug,apr_generic_name,apr_investigative_flag,cdg_common_generic_name,notes,fact,apr_generic_name_longest_word_exact,apr_generic_name_longest_word_left_join_status,apr_generic_name_longest_word_left_join,processing_type,concept
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,APR_GENERIC_NAME Words,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,APR_GENERIC_NAME Words Unique,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,APR_GENERIC_NAME Longest Word,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,APR_GENERIC_NAME Words Frequency Rank1,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,APR_GENERIC_NAME Words Length Rank1,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,CDG_COMMON_GENERIC_NAME Words,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,CDG_COMMON_GENERIC_NAME Words Unique,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,CDG_COMMON_GENERIC_NAME Longest Word,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,CDG_COMMON_GENERIC_NAME Words Frequency Rank1,ADCT-502
4,ADCT-502,ADCT-502,Y,ADCT-502,Refer tab 'Exploration'-custom 2 billion concept-can't narrow down to ingredient,NA,NA,NA,NA,CDG_COMMON_GENERIC_NAME Words Length Rank1,ADCT-502
5,ALDESLEUKIN PRODRUG NKTR214,ALDESLEUKIN,N,ALDESLEUKIN,we have 4 different variations in the antineoplastic table which one is appropriate?,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",NA,Complete,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",APR_GENERIC_NAME Words,ALDESLEUKIN
5,ALDESLEUKIN PRODRUG NKTR214,ALDESLEUKIN,N,ALDESLEUKIN,we have 4 different variations in the antineoplastic table which one is appropriate?,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",NA,Complete,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",APR_GENERIC_NAME Longest Word,ALDESLEUKIN
5,ALDESLEUKIN PRODRUG NKTR214,ALDESLEUKIN,N,ALDESLEUKIN,we have 4 different variations in the antineoplastic table which one is appropriate?,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",NA,Complete,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",APR_GENERIC_NAME Words Frequency Rank1,ALDESLEUKIN
5,ALDESLEUKIN PRODRUG NKTR214,ALDESLEUKIN,N,ALDESLEUKIN,we have 4 different variations in the antineoplastic table which one is appropriate?,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",NA,Complete,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",APR_GENERIC_NAME Words Length Rank1,ALDESLEUKIN
5,ALDESLEUKIN PRODRUG NKTR214,ALDESLEUKIN,N,ALDESLEUKIN,we have 4 different variations in the antineoplastic table which one is appropriate?,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",NA,Complete,"aldesleukin: [V] [S] 1309770 aldesleukin [RxNorm 70223] [Drug] [Ingredient]
aldesleukin: [V] [C] 21603872 aldesleukin; parenteral [ATC L03AC01] [Drug] [ATC 5th]
Aldesleukin: [V] [N] 35802869 Aldesleukin [HemOnc 15] [Drug] [Component]",CDG_COMMON_GENERIC_NAME Words,ALDESLEUKIN
